time,open,high,low,close,tick_volume,spread,real_volume,ema_8,ema_33
1779998400,1.16567,1.16573,1.16508,1.16509,1076,1,0,1.1647956747858244,1.1629828948239753
1780000200,1.16509,1.16543,1.16508,1.16533,902,1,0,1.164914413722308,1.1631209598343297
1780002000,1.16533,1.16553,1.16484,1.16489,1651,0,0,1.164908988450684,1.1632250210205455
1780003800,1.16489,1.16501,1.16465,1.16478,973,1,0,1.164880324350532,1.1633164903722781
1780005600,1.16478,1.1649,1.16463,1.16488,891,1,0,1.1648802522726358,1.16340846152685
1780007400,1.16489,1.16515,1.16468,1.16477,998,1,0,1.1648557517676057,1.1634885520252707
1780009200,1.16475,1.16477,1.16447,1.16465,563,3,0,1.1648100291525822,1.1635568724943723
1780011000,1.16465,1.16496,1.16464,1.16494,425,3,0,1.1648389115631195,1.1636382329358799
1780012800,1.16509,1.16522,1.1649,1.16506,221,7,0,1.1648880423268706,1.1637218662925928
1780014600,1.16506,1.16516,1.16504,1.16513,504,3,0,1.164941810698677,1.1638046976871461
1780016400,1.16513,1.16519,1.16502,1.16514,281,2,0,1.1649858527656378,1.1638832448820198
1780018200,1.16514,1.16515,1.16498,1.16499,264,3,0,1.1649867743732738,1.1639483481242539
1780020000,1.16499,1.16528,1.16499,1.16514,284,3,0,1.1650208245125462,1.1640184452934152
1780021800,1.16513,1.1653,1.16505,1.16523,283,2,0,1.1650673079542027,1.164089713217332
1780023600,1.16523,1.16556,1.1652,1.16538,801,2,0,1.165136795075491,1.1641656124398418
1780025400,1.16538,1.16538,1.16473,1.16487,774,1,0,1.1650775072809374,1.1642070470022041
1780027200,1.16487,1.16564,1.16478,1.16539,1017,1,0,1.1651469501073959,1.1642766324726628
1780029000,1.16539,1.16539,1.16433,1.16445,1017,0,0,1.1649920723057523,1.164286830562506
1780030800,1.16445,1.16477,1.16435,1.16464,815,0,0,1.1649138340155851,1.1643076052352996
1780032600,1.16464,1.16493,1.16447,1.16448,528,2,0,1.1648174264565663,1.1643177461038114
1780034400,1.16448,1.1645,1.16397,1.1641,716,0,0,1.164657998355107,1.1643049375094696
1780036200,1.1641,1.16412,1.16359,1.16372,718,2,0,1.1644495542761943,1.1642705294206772
1780038000,1.16371,1.16391,1.16353,1.16356,655,2,0,1.164251875548151,1.1642287335724022
1780039800,1.16356,1.16392,1.16341,1.1639,520,0,0,1.1641736809818952,1.1642093963034372
1780041600,1.1639,1.16436,1.16381,1.16415,626,0,0,1.164168418541474,1.164205902403235
1780043400,1.16414,1.16428,1.16395,1.16421,559,1,0,1.1641776588655908,1.1642061434383386
1780045200,1.16419,1.16478,1.16419,1.16454,1290,1,0,1.1642581791176818,1.1642257820596127
1780047000,1.16454,1.16543,1.16449,1.16534,1352,0,0,1.164498583758197,1.1642913242914001
1780048800,1.16534,1.16534,1.16414,1.16434,1554,0,0,1.164463342923042,1.1642941875683768
1780050600,1.16435,1.16446,1.16377,1.1642,1404,0,0,1.164404822273477,1.1642886471231781
1780052400,1.1642,1.1642,1.16337,1.16388,1862,0,0,1.1642881951015933,1.164264609057109
1780054200,1.16388,1.16396,1.16249,1.16282,1452,0,0,1.1639619295234613,1.1641796320537496
